name,family,target,control_estimate,candidate_estimate,control_relative_error,candidate_relative_error,absolute_error_change_pp
dwp/uc_payment_dist/LONE_PARENT_annual_payment_24_000_to_25_200@2025,dwp_universal_credit,51301.666666666664,51248.27346801758,51377.555236816406,-0.001040769279407806,0.0014792613004725385,0.04384920210647326
dwp/uc_payment_dist/LONE_PARENT_annual_payment_25_200_to_26_400@2025,dwp_universal_credit,43305.22222222222,43308.97979736328,43393.48303222656,8.676956145797237e-05,0.0020381100817686644,0.1951340520310692
dwp/uc_payment_dist/LONE_PARENT_annual_payment_26_400_to_27_600@2025,dwp_universal_credit,34910.555555555555,34967.71870422363,35005.31857299805,0.0016374173300424978,0.0027144517162349152,0.10770343861924174
dwp/uc_payment_dist/LONE_PARENT_annual_payment_27_600_to_28_800@2025,dwp_universal_credit,28513.0,28472.154052734375,28410.603729248047,-0.0014325376938808614,-0.003591213507942101,0.21586758140612394
dwp/uc_payment_dist/LONE_PARENT_annual_payment_28_800_to_30_000@2025,dwp_universal_credit,22593.0,22941.5359954834,22335.25946044922,0.01542672489193106,-0.011407982098472148,-0.4018742793458912
dwp/uc_payment_dist/LONE_PARENT_annual_payment_2_400_to_3_600@2025,dwp_universal_credit,46312.77777777778,46211.40223693848,46559.80694580078,-0.0021889324221866773,0.005333931149807473,0.3144998727620796
dwp/uc_payment_dist/LONE_PARENT_annual_payment_3_600_to_4_800@2025,dwp_universal_credit,60310.11111111111,60197.692474365234,60178.7666015625,-0.0018640097767149346,-0.0021778190609967473,0.03138092842818127
dwp/uc_payment_dist/LONE_PARENT_annual_payment_4_800_to_6_000@2025,dwp_universal_credit,67858.66666666667,67966.1632156372,67801.44441986084,0.0015841240957264438,-0.0008432562798045693,-0.07408678159218746
dwp/uc_payment_dist/LONE_PARENT_annual_payment_6_000_to_7_200@2025,dwp_universal_credit,89577.44444444444,89698.78782653809,89584.03790283203,0.001354619824736177,7.360623456591808e-05,-0.12810135901702588
dwp/uc_payment_dist/LONE_PARENT_annual_payment_7_200_to_8_400@2025,dwp_universal_credit,116076.0,116286.76705932617,116538.10373687744,0.0018157677670334253,0.00398104463349393,0.21652768664605043
dwp/uc_payment_dist/LONE_PARENT_annual_payment_8_400_to_9_600@2025,dwp_universal_credit,97511.0,97399.42486572266,97955.5943145752,-0.0011442312588050964,0.00455942729102558,0.3415196032220484
dwp/uc_payment_dist/LONE_PARENT_annual_payment_9_600_to_10_800@2025,dwp_universal_credit,102343.0,102252.2599029541,102796.92694091797,-0.0008866272929843608,0.004435349177940541,0.35487218849561797
dwp/uc_payment_dist/SINGLE_annual_payment_0_to_1_200@2025,dwp_universal_credit,89479.33333333333,89634.40298843384,89215.16776657104,0.0017330220211055373,-0.002952252290237786,0.12192302691322486
dwp/uc_payment_dist/SINGLE_annual_payment_10_800_to_12_000@2025,dwp_universal_credit,104891.11111111111,105225.78038787842,104730.4072265625,0.0031906352523312816,-0.0015321020327296938,-0.16585332196015878
dwp/uc_payment_dist/SINGLE_annual_payment_12_000_to_13_200@2025,dwp_universal_credit,122035.55555555556,121352.39295959473,122078.40899658203,-0.005598061916060455,0.00035115537296800844,-0.5246906543092446
dwp/uc_payment_dist/SINGLE_annual_payment_15_600_to_16_800@2025,dwp_universal_credit,149963.22222222222,149558.40324783325,150295.2777786255,-0.0026994550289742916,0.002214246609820203,-0.04852084191540886
dwp/uc_payment_dist/SINGLE_annual_payment_16_800_to_18_000@2025,dwp_universal_credit,108689.66666666667,108450.17974853516,109009.77145385742,-0.002203400980757281,0.0029451262204387755,0.07417252396814947
dwp/uc_payment_dist/SINGLE_annual_payment_18_000_to_19_200@2025,dwp_universal_credit,61718.666666666664,61655.18292236328,61770.48156738281,-0.0010285987648801496,0.0008395337021130548,-0.018906506276709478
dwp/uc_payment_dist/SINGLE_annual_payment_19_200_to_20_400@2025,dwp_universal_credit,34050.444444444445,34080.252182006836,34123.49203491211,0.0008753993684582879,0.0021452756831660774,0.12698763147077893
dwp/uc_payment_dist/SINGLE_annual_payment_1_200_to_2_400@2025,dwp_universal_credit,127403.22222222222,127142.69436264038,127203.61846160889,-0.0020449079311935623,-0.0015667088879838121,-0.047819904320975014
dwp/uc_payment_dist/SINGLE_annual_payment_20_400_to_21_600@2025,dwp_universal_credit,22338.333333333332,22386.04296875,22302.59716796875,0.0021357741736925113,-0.0015997686502088543,-0.0536005523483657
dwp/uc_payment_dist/SINGLE_annual_payment_22_800_to_24_000@2025,dwp_universal_credit,11133.666666666666,10729.99609375,10729.99609375,-0.03625675035927063,-0.03625675035927063,0.0
